date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2018-10-19,5876,18388029,659237999,35.0,36.9,34.5,36.9,0.0,7498
2018-10-22,5876,16668944,628047691,37.1,38.1,37.05,37.35,0.45,6210
2018-10-23,5876,7449672,273810828,37.35,37.35,36.45,36.55,-0.8,2838
2018-10-24,5876,10424948,380913268,36.35,36.95,35.8,36.8,0.25,3913
2018-10-25,5876,7244735,263744329,36.0,36.65,35.95,36.2,-0.6,2437
2018-10-26,5876,8669634,313871598,36.4,36.5,35.9,36.45,0.25,3307
2018-10-29,5876,11409335,423308447,36.35,37.5,36.15,37.35,0.9,4569
2018-10-30,5876,21778064,833202479,37.3,38.6,37.15,38.4,1.05,7482
2018-10-31,5876,7279065,280126270,38.35,38.8,37.8,38.45,0.05,3094
2018-11-01,5876,3759562,144489120,38.4,38.5,38.2,38.5,0.05,2053
2018-11-02,5876,6175326,236877641,38.5,38.6,37.8,38.6,0.1,2921
2018-11-05,5876,3395436,131020451,38.2,38.7,38.2,38.7,0.1,1395
2018-11-06,5876,8845702,345427818,38.65,39.2,38.5,38.95,0.25,2730
2018-11-07,5876,16601514,659937587,38.95,40.0,38.95,39.95,1.0,4551
2018-11-08,5876,4998164,198874559,39.95,40.0,39.45,39.9,-0.05,2009
2018-11-09,5876,2960793,117218815,39.9,39.9,39.5,39.55,-0.35,1266
2018-11-12,5876,11486439,460747361,39.55,40.5,39.5,40.5,0.95,3748
2018-11-13,5876,11549067,469633222,40.05,41.0,39.9,40.8,0.3,3354
2018-11-14,5876,15894226,623381549,40.2,40.2,38.65,39.15,-1.65,6245
2018-11-15,5876,3342761,130097796,39.0,39.15,38.7,39.05,-0.1,1765
2018-11-16,5876,7937008,308326240,39.05,39.2,38.55,38.55,-0.5,2801
2018-11-19,5876,4491098,174972337,38.6,39.3,38.6,39.2,0.65,2488
2018-11-20,5876,2171221,84424980,39.1,39.1,38.8,38.9,-0.3,1446
2018-11-21,5876,2809334,109312774,38.6,39.1,38.6,38.9,0.0,1222
2018-11-22,5876,2523854,97976856,38.9,38.95,38.65,38.9,0.0,1382
2018-11-23,5876,3658618,143136802,38.9,39.45,38.75,39.2,0.3,1418
2018-11-26,5876,9948035,396185425,39.25,40.0,39.25,39.95,0.75,3461
2018-11-27,5876,9411281,370710318,39.8,39.8,39.05,39.6,-0.35,3471
2018-11-28,5876,5436214,212301309,39.5,39.5,38.85,39.1,-0.5,2686
2018-11-29,5876,7126428,276453343,39.1,39.15,38.65,38.8,-0.3,4241
2018-11-30,5876,7826386,307967886,39.05,39.95,38.5,39.95,1.15,3105
2018-12-03,5876,5309078,210090182,39.6,39.85,39.25,39.8,-0.15,2011
2018-12-04,5876,3595239,141346083,39.5,39.6,39.1,39.2,-0.6,2218
2018-12-05,5876,3483051,135714784,38.9,39.35,38.7,39.05,-0.15,1449
2018-12-06,5876,5518187,213419068,39.05,39.05,38.4,38.8,-0.25,2411
2018-12-07,5876,1229715,47670373,39.0,39.0,38.7,38.8,0.0,475
2018-12-10,5876,3986116,155457202,38.95,39.25,38.8,38.95,0.15,2228
2018-12-11,5876,4004267,156775836,39.05,39.5,38.9,39.25,0.3,1634
2018-12-12,5876,3041573,119672628,39.5,39.5,39.2,39.25,0.0,1283
2018-12-13,5876,4706043,185831795,39.25,39.7,39.2,39.65,0.4,1809
2018-12-14,5876,2233000,88319143,39.6,39.65,39.45,39.5,-0.15,1191
2018-12-17,5876,3307838,130790909,39.5,39.8,39.35,39.65,0.15,1182
2018-12-18,5876,6568535,261442869,39.5,39.95,39.5,39.8,0.15,2409
2018-12-19,5876,8692057,347786080,39.8,40.15,39.7,40.15,0.35,3290
2018-12-20,5876,7523948,303330749,40.1,40.45,40.0,40.25,0.1,3266
2018-12-21,5876,18336973,740213402,40.15,40.45,40.05,40.4,0.15,2312
2018-12-22,5876,3086914,122776062,39.95,40.05,39.6,39.7,-0.7,1208
2018-12-24,5876,3904466,154957988,39.7,39.9,39.5,39.65,-0.05,1906
2018-12-25,5876,3972614,157472644,39.4,39.8,39.3,39.75,0.1,2163
2018-12-26,5876,2616261,104401237,39.75,40.0,39.6,39.85,0.1,983
2018-12-27,5876,4725486,189297190,39.95,40.15,39.95,40.15,0.3,1985
2018-12-28,5876,5776526,232106140,40.15,40.25,40.05,40.2,0.05,1905
2019-01-02,5876,4123541,165242580,40.2,40.25,39.95,40.1,-0.1,2306
2019-01-03,5876,6946965,277490886,40.0,40.1,39.7,40.1,0.0,3238
2019-01-04,5876,4751992,190269820,40.0,40.1,39.8,40.05,-0.05,2493
2019-01-07,5876,4398278,176445514,40.05,40.25,39.9,40.2,0.15,2156
2019-01-08,5876,2892896,116011079,40.2,40.25,39.95,39.95,-0.25,1698
2019-01-09,5876,10997695,446923453,40.0,40.9,40.0,40.7,0.75,4343
2019-01-10,5876,10558619,433616587,40.7,41.2,40.5,41.2,0.5,3675
2019-01-11,5876,10889509,454312106,41.2,42.05,41.2,41.6,0.4,4017
2019-01-14,5876,12690868,538735620,41.8,42.75,41.8,42.5,0.9,4635
2019-01-15,5876,11877035,513755089,42.5,43.5,42.5,43.2,0.7,5010
2019-01-16,5876,10411988,443935719,43.5,43.5,42.2,42.6,-0.6,4448
2019-01-17,5876,5575982,240261796,42.8,43.3,42.8,43.05,0.45,2919
2019-01-18,5876,5367939,231077448,43.05,43.15,42.9,43.15,0.1,2078
2019-01-21,5876,10039269,437856116,43.15,43.8,43.1,43.75,0.6,3282
2019-01-22,5876,5225013,228628382,43.75,43.9,43.5,43.85,0.1,1878
2019-01-23,5876,7020510,307494032,43.85,43.95,43.5,43.95,0.1,2071
2019-01-24,5876,6106801,268821144,44.0,44.35,43.75,43.95,0.0,2151
2019-01-25,5876,8516177,371329218,44.1,44.1,43.2,43.7,-0.25,4127
2019-01-28,5876,9988408,429509522,43.65,43.65,42.85,43.3,-0.4,4343
2019-01-29,5876,2482223,107344786,43.2,43.4,43.0,43.3,0.0,1255
2019-01-30,5876,9132753,399147470,43.3,44.0,43.1,43.9,0.6,2852
2019-02-11,5876,8974179,392354806,43.9,43.95,43.25,43.8,-0.1,3827
2019-02-12,5876,48710774,2204370422,45.0,46.0,44.6,44.7,0.9,14822
2019-02-13,5876,22017730,989014450,45.0,45.1,44.8,45.0,0.3,6684
